№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
1113,экономика,,,Экономический факультет,8,3,  -,ВШБ,2,  -,  -,1,1,4,3, -,нет других,Филологический,1,2,3, -,4,МГУ, -,66,82,88,89,59,1,3,3,2,1,3,2,1,2,3,8,З.О.,З.О.,З.О.,2,2,18,2,1,Красноярск,-,6,6,-,-,-,6,1,английский,-,-,2
1114,перспективный актуальный востребованный,,,Экономический факультет,10,5,  -,"ВШБ, МШЭ",2,  -,  -,1,1,7,3, -,НИУ ВШЭ,МИЭФ,1,2,6, -,1, -, -,63,92,90,89,96,1,1,1,2,3,1,1,3,3,2,6,З.О.,З.О.,З.О.,2,3,19,2,2,Александров,-,5,5,-,-,-,5,1,английский,-,-,2
1115,современный, популярный, интересный,Экономический факультет,10,2,  -,экономический,2,  -,  -,1,1,7,2, -,МПГУ Им. Ленина,Экономический,1,5,6, -,1, -, -,85,95,65,93,67,4,1,5,5,1,2,3,1,1,1,1,З.О.,З.О.,З.О.,2,2,17,2,1,Липецк,-,2,2,-,-,-,7,1,английский,-,-,3
1116,желанный,перспективный,новый,Экономический факультет,5,5,  -,государственное управление,2,  -,  -,1,1,7,4, -,РГГУ,Юридический,1,2,3, -,5, -, -,86,76,66,74,68,5,5,1,1,1,5,1,1,1,2,1,З.О.,З.О.,З.О.,2,3,17,2,2,"Королёв, МО",-,4,4,-,-,-,6,1,английский,-,-,2
1117,престижный, перспективный, кирпичный,Экономический факультет,6,2,  -, -,2,  -,  -,4,1,7,3, -,МГУ,Политологический,1,2,3, -,7, -, -,52,62,83,58,91,2,3,4,3,2,1,2,1,1,1,8,З.О.,З.О.,З.О.,1,2,17,2,2,Ростов-на-Дону,-,7,4,-,-,-,6,1,английский,-,-,2
1118,международный, глобальный, дипломатический,Факультет глобальных процессов,6,3,  -,социологический,2,  -,  -,4,1,4,3, -,МГУ,юридический,1,2,5, -,1, -, -,52,70,80,83,77,2,3,4,4,2,1,3,1,5,5,6,З.О.,З.О.,З.О.,3,2,18,1,2,г.Тула,-,5,5,-,-,-,4,1,английский,-,-,3
1119,красивый, большой, интересный,Экономический факультет,9,2,  -,"юридический, педагогический",2,  -,  -,1,1,5,3, -,МГЮА,юриспруденция,1,2,3, -,1, -, -,44,95,80,93,72,4,1,4,2,3,3,3,1,1,1,3,З.О.,З.О.,З.О.,3,2,17,2,1,г. Калуга,-,3,6,-,-,-,5,1,английский,-,-,3
1120,интересный, современный, познавательный,Географический факультет,7,3,  -,журналистика,2,  -,  -,2,1,3,5, -,НИУ ВШЭ,экономика,1,2,3, -,1, -, -,56,98,58,87,91,3,1,4,3,2,1,1,1,1,3,6,З.О.,З.О.,З.О.,2,3,18,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1121,интересный, перспективный,,Экономический факультет,7,3,  -,юридический,2,  -,  -,4,1,7,4, -,ВГНА,права,2, -, -, -,3, -, -,52,95,90,68,96,4,4,3,1,1,5,1,1,4,3,1,З.О.,З.О.,З.О.,2,2,18,2,1,-,-,4,4,-,-,-,3,1,английский,-,-,3
1122,престижный, перспективный, интересный,Экономический факультет,5,3.6,  -,исторический,2,  -,  -,4,3,2,6, -,МГИМО,юридический,1,2,5, -,4,МГУ, -,52,82,80,62,64,3,2,4,3,2,1,4,3,3,3,3,З.О.,З.О.,З.О.,1,2,17,2,1,Оренбург,-,7,4,-,-,-,7,1,английский,-,-,3
1123,,,,Факультет вычислительной математики и кибернетики,7,2.3,  -,ФИЯР,2,  -,  -,4,1,3,2, -,МГИМО,юридический,1, -, -, -,4,МГУ, -,64,60,78,59,72,4,1,4,1,1,3,3,1,5,3,8,З.О.,З.О.,З.О.,1,2,17,2,1,МО г. Электросталь,-,4,4,-,-,-,4,1,английский,-,-,4
1124,престижный дорогой актуальный,,,Экономический факультет,6,3,  -,"юридический,государственное управление",2,  -,  -,2,1,2,3, -,МГИМО,филологический,1, -, -, -,2, -, -,52,74,80,55,77,4,2,2,2,5,1,3,2,2,2,6,З.О.,З.О.,З.О.,1,2,17,2,1,Владимир,-,4,4,-,-,-,1,1,английский,-,-,1
1125,физический, умный, сложный,Физический факультет,7,6,  -,ФГУ,2,  -,  -,1,7,1,3, -,нет других,филологический,1,2,3, -,5, -, -,63,74,81,56,78,2,1, -,2,2,2,1,1,4, -,6,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1126,необычный, интересный, многообещающий,Философский факультет,10,3,  -,нет альтернативы,2,  -,  -,2,1,7,2, -,МГЮА, -,2, -, -, -,1, -, -,70,95,80,92,82,5,1,4,1,2,5,3,2,4,4,10,З.О.,З.О.,З.О.,2,2,17,2,1,Волгоград,-,4,4,-,-,-,5,1,английский,-,-,5
1127,престижный,сложный,интересный,Экономический факультет,8,3,  -,нет альтернативы,2,  -,  -,2,3,4,2, -,РУДН,журналистики,1,2,5, -,1, -, -,66,76,66,83,73,1,4,3,2,2,2,2,1,3,4,6,З.О.,З.О.,З.О.,2,3,18,2,1,-,-,2,2,-,-,-,7,1,английский,-,-,2
1128,невообразимый, интересный, познавательный,Географический факультет,9,"1,2,5",  -,социология,2,  -,  -,2,1,2,3, -,МГЮА, -,1,3, -, -,1, -, -,48,95,62,92,66,4,2,3,2,2,2,3,2,3,2,6,З.О.,З.О.,З.О.,1,2,17,1,1,-,-,7,4,-,-,-,7,1,английский,-,-,3
1129,Интересный, познавательный, перспективный,Филологический факультет,7,7,  -,социологический факультет,2,  -,  -,2,1,7,3, -,МГЮА,мехмат,1,2,3, -,5, -, -,60,69,81,56,82,2,5,2,1,1,1,2,2,3,4,8,З.О.,З.О.,З.О.,1,2,17,1,2,-,-,4,4,-,-,-,1,1,английский,-,-,3
1130,инновационный, интересный, математический,Факультет вычислительной математики и кибернетики,9,3,  -,ВШБ,2,  -,  -,2,7,4,3, -,РХТУ, -,1,2,3, -,1, -, -,71,90,66,82,82,4,2,4,1,1,1,4,1,1,1,7,З.О.,З.О.,З.О.,1,2,17,2,2,-,-,4,4,-,-,-,5,1,английский,-,-,5
1131,,,,Факультет вычислительной математики и кибернетики,7,7,  -,юридический,2,  -,  -,1,4,1,3, -,ГУУ, -,1,2,3, -,1, -, -,32,82,56,83,91,2,5,5,2,5,5,5,5,5,5,5,З.О.,З.О.,З.О.,2,2,17,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,4
1132,крутой,практичный,перспективный,Факультет мировой политики,9,3,  -,ФГП,2,  -,  -,1,1,3,2, -,РГГУ нефти и газа им. Губкина,юридический,1,2,3, -,5, -, -,89,72,88,66,56,1,4,1,1,1,1,1,1,1,3,10,З.О.,З.О.,З.О.,3,2,17,2,1,-,-,4,4,-,-,-,3,1,английский,-,-,3
1133,математический, сложный, желаемый,Экономический факультет,9,3,  -,факультет иностранных языков и регионоведения,2,  -,  -,1,7,1,4, -,нет других, -,1,2,3, -,1, -, -,52,98,56,94,66,2,3,2,2,2,2,3,1,1,3,,З.О.,З.О.,З.О.,3,3,19,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1134,мгушный, биологический, научный,Факультет биоинженерии и биоинформатики,6,1,  -,не буду поступать,2,  -,  -,2,7,1,2, -,рггу, -,2,3,5, -,1, -, -,68,83,74,60,86,5,2,4,3,3,2,4,3,1,2,6,З.О.,З.О.,З.О.,1,2,17,1,1,-,-,2,3,-,-,-,5,1,английский,-,-,2
1135,перспективный прикладной престижный,,,Факультет вычислительной математики и кибернетики,7,1,  -,не буду поступать,2,  -,  -,1,1,4,3, -,мгимо, -,1,4,6, -,5, -, -,76,95,75,66,56,4,1,4,1,1,4,5,1,2,4,8,З.О.,З.О.,З.О.,1,2,17,2,1,-,-,1,1,-,-,-,6,1,английский,-,-,5
1136,Научный, желанный, самый лучший,Филологический факультет,6,3,  -,социологический,2,  -,  -,4,1,3,2, -,рудн, -,1,2,6, -,2, -, -,40,87,83,66,89,2,3,2,5,2,1,3,1,1,4,7,З.О.,З.О.,З.О.,1,2,17,1,1,-,-,1,1,-,-,-,6,1,английский,-,-,3
1137,,,,Факультет вычислительной математики и кибернетики,8,"1,2,3",  -,политологический,2,  -,  -,2,1,5,2, -,мгу, -,1,2,3, -,4,РГСУ, -,68,68,71,68,96,1,4,2,1,1,3,2,1,1,4,,З.О.,З.О.,З.О.,2,3,17,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1138,престижный, желанный, классный,Высшая школа перевода (факультет),7,2,  -,политологический,2,  -,  -,1,1,3,4, -,меси, -,2,4,5, -,5, -, -,74,85,80,87,90,3,2,4,1,1,1,3,3,1,1,10,З.О.,З.О.,З.О.,2,2,16,1,3,-,-,4,4,-,-,-,5,1,английский,-,-,3
1139,классный, престижный, перспективный,Факультет политологии,10,5,  -,географический,2,  -,  -,2,3,6,3, -, -, -,1,4,6, -,1, -, -,68,84,85,85,56,1,4,1,1,1,1,1,1,1,3,8,З.О.,З.О.,З.О.,2,2,20,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,4
1140,,,,Высшая школа государственного аудита (факультет),4,3,  -,филологический,2,  -,  -,1,3,1,  -, -,вавт, -,1, -, -, -,1, -, -,56,90,70,89,83,2,3,5,2,2,2,1,1,3,3,8,З.О.,З.О.,З.О.,2,3,17,2,2,-,-,4,4,-,-,-,3,1,английский,-,-,3
1141,современный, актуальный, всеобъемлющий,Экономический факультет,6,7,  -,философский,2,  -,  -,2,1,4,6, -,фу, -,2, -, -, -,1, -, -,48,90,55,90,65,3,1,4,2,1,2,3,1,1,3,9,З.О.,З.О.,З.О.,3,2,16,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,1
1142,,,,Филологический факультет,7,3,  -,"физико-химический, философский",2,  -,  -,2,3,1,6, -,рэу им. Плеханова, -,1,2,3, -,1, -, -,54,92,90,74,98,3,3,1,4,4,5,4,5,3,3,1,З.О.,З.О.,З.О.,1,2,18,2,1,-,-,4,-,-,-,-,4,1,английский,-,-,2
1143,суетно, позитивно, общительные студенты,Высшая школа современных социальных наук (факультет),5,3,  -,"физико-химический, экономический",2,  -,  -,2,6,5,  -, -,рэу им. Плеханова, -,1, -, -, -,5, -, -,83,98,88,88,65,3,2,3,1,3,5,1,1,2,4,4,З.О.,З.О.,З.О.,2,2,18,1,1,-,-,4,-,-,-,-,5,1,английский,-,-,2
1144,познавательный,интересный,перспективный,Экономический факультет,10,3,  -,жур. Фак.,2,  -,  -,3,1,3,4, -,РГГУ, -,, -, -,желание родителей,1, -, -,70,79,90,85,66,2,5,4,3,1,3,2,1,3,3,8,З.О.,З.О.,З.О.,2,2,19,2,1,-,-,6,-,-,-,-,5,1,английский,-,-,3
1145,перспективный, сильный, развитый,Экономический факультет,8,2,  -,юридический фак,2,  -,  -,2,6,2,  -, -,Плехановский, -,2, -, -, -,1, -, -,68,66,95,70,45,2,3,2,2,2,2,2,2,4,4,8,З.О.,З.О.,З.О.,2,2,17,1,2,Владимир,-,4,6,-,-,-,6,1,английский,-,-,3
1146,инновационный, интересный, престижный,Экономический факультет,8,6,  -, -,2,  -,  -,1,1,2,  -, -,ЛГМУ, -,3, -, -, -,1, -, -,79,80,75,45,83,4,1,4,2,2,2,2,2,1,2,10,З.О.,З.О.,З.О.,2,3,17,1,1,-,-,4,-,-,-,-,4,1,английский,-,-,2
1147,интересный, познавательный, перспективный,Факультет глобальных процессов,7,3,  -,исторический,2,  -,  -,2,6,1,3, -,РАНХиГС, -,2,3,5, -,1, -, -,52,79,72,56,91,3,2,2,2,1,3,2,1,1,3,6,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,3,4,-,-,-,5,1,английский,-,-,3
1148,сложный,,,Экономический факультет,6,2,  -,экономический ,2,  -,  -,1,1,5,  -, -,ВШЭ, -,2,5, -, -,3, -, -,98,100,44,95,63,1,4,1,2,3,4,2,2,4,1,10,З.О.,З.О.,З.О.,1,2,18,1,1,-,-,4,6,-,-,-,5,1,английский,-,-,4
1149,хороший, красивый, престижный,Факультет мировой политики,5,4,  -, исторический,2,  -,  -,2,2,4,  -, -,ВШЭ, -,2,3,4, -, -, -, -,68,84,93,56,55,2,3,2,2,3,2,3,1,2,2,6,З.О.,З.О.,З.О.,1,3,17,1,1,-,-,4,-,-,-,-,6,1,английский,-,-,3
1150,метиматический, механический, интересный,Механико–математический факультет,7,1,  -, -,2,  -,  -,2,2,7,3, -,ВШЭ, -,2,3, -, -,1, -, -,74,90,83,55,54,2,3,2,2,1,3,2,1,3,3,7,З.О.,З.О.,З.О.,1,3,20,2,1,-,-,2,-,-,-,-,5,1,английский,-,-,3
1151,,,,Юридический факультет,7,2,  -, -,2,  -,  -,2,1,3,2, -,ФУ при ПРФ, -,2, -, -, -,1, -, -,70,95,46,90,65,2,3,2,2,2,1,2,2,3,2,6,З.О.,З.О.,З.О.,2,3,20,1,1,-,-,4,-,-,-,-,5,1,английский,-,-,3
1152,смешной, няшный, интересный,Факультет вычислительной математики и кибернетики,9,3,  -,ИСАА,2,  -,  -,2,5,1,2, -,ФУ при ПРФ, -,2,3,5, -,1, -,ЭМШ,85,100,83,54,65,2,2,1,1,1,2,1,1,3,2,8,З.О.,З.О.,З.О.,1,2,17,1,1,-,-,4,3,-,-,-,5,1,английский,-,-,2
1153,интересный,инновационный,современный,Экономический факультет,7,5,  -,ИСАА,2,  -,  -,4,4,1,2, -,МГИМО, -,1,2, -, -, -, -, -,32,84,66,70,66,2,3,4,2,2,5,2,2,1,4,5,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,7,7,-,-,-,5,1,английский,-,-,3
1154,старый,незнакомый,фиг знает какой,Филологический факультет,7,1,  -,не буду поступать,2,  -,  -,1,7,6,  -, -,МГЮА, -,1,2, -,минимальная стоимость на рынке труда, -, -, -,52,82,80,88,96,3,2,2,1,1,4,2,2,2,3,6,З.О.,З.О.,З.О.,2,3,18,1,1,-,-,6,2,-,-,-,6,1,английский,-,-,2
1155,успешный, лучший, перспективный,Экономический факультет,8,3,  -,не буду поступать,2,  -,  -,2,1,3,  -, -,НИУ -ВШЭ, -,2, -, -, -,1, -, -,77,98,67,92,45,1,2,3,1,4,1,4,4,1,3,4,З.О.,З.О.,З.О.,3,3,17,1,1,-,-,4,7,-,-,-,7,1,английский,-,-,3
1156,интересный, перспективный, развивающий,Высшая школа современных социальных наук (факультет),7,3,  -,не буду поступать,2,  -,  -,2,1,3,2, -,ВАВТ, -,1,2,5, -,1, -, -,77,87,85,84,65,2,3,3,3,3,1,2,2,3,3,9,З.О.,З.О.,З.О.,1,3,17,1,2,Владимир,-,4,3,-,-,-,5,1,английский,-,-,3
1157,хороший, перспективный, сложный,Физический факультет,9,3,  -,высшая школа перевода,2,  -,  -,2,1,2,  -, -,РГГУ, -,2, -, -, -,1.5, -, -,52,84,66,87,93,2,3,1,3,2,2,4,2,2,3,9,З.О.,З.О.,З.О.,2,2,23,1,2,Владимир,-,4,4,-,-,-,5,1,английский,-,-,3
1158,бандитский увлекательный профессиональный,,,Факультет вычислительной математики и кибернетики,10,3,  -,не буду поступать,2,  -,  -,4,7,5,  -, -,РГСУ, -,1,2, -, -,2, -, -,63,95,66,93,57,4,1,3,2,2,2,1,2,1,3,10,З.О.,З.О.,З.О.,2,2,20,1,2,-,-,4,4,-,-,-,4,1,английский,-,-,3
1159,современный, компактный, интересный,Высшая школа бизнеса (факультет),6,3,  -,не буду поступать,2,  -,  -,2,1,7,  -, -,МИФИ, -,2,5,6, -,1, -, -,74,82,56,54,61,3,1,5,1,1,1,5,1,1,2,7,З.О.,З.О.,З.О.,2,3,17,1,3,-,-,4,3,-,-,-,6,1,английский,-,-,2
1160,умный, образовывающий, важный,Философский факультет,9,4,  -,государсвенное управление,2,  -,  -,2,1,4,  -, -,МФТИ, -,1,3,6, -,1, -, -,55,72,45,65,54,1,4,1,1,1,4,1,1,1,1,10,З.О.,З.О.,З.О.,3,3,17,1,2,Нижний Новгород,-,4,4,-,-,-,6,1,английский,-,-,3
1161,,,,Философский факультет,8,1,  -, -,2,  -,  -,1,2,5,3, -,МАИ, -,2,4,5, -,7, -, -,79,73,68,74,63,2,2,3,2,4,1,1,1,4,2,10,З.О.,З.О.,З.О.,1,3,24,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,2
1162,Перспективный, интересный, престижный,Факультет государственного управления,7,3,  -,Журфак,2,  -,  -,2,5,1,  -, -,МИФИ, -,1, -, -, -,1, -, -,96,87,66,80,55,2,1,4,2,3,1,2,1,5,2,7,З.О.,З.О.,З.О.,1,3,19,2,2,Нижний Новгород,-,7,6,-,-,-,5,1,английский,-,-,3
1163,интересный, замечательный, познавательный,Факультет журналистики,2,3,  -,Гос управление,2,  -,  -,2,7,5,  -, -,нет других, -,3, -, -, -,1, -, -,81,95,56,84,54,3,1,5,2,1,2,5,2,5,4,8,З.О.,З.О.,З.О.,3,2,18,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
1164,красивый, интересный, перспективный,Факультет иностранных языков и регионоведения,7,1,  -,Филологический,2,  -,  -,1,4,1,  -, -,нет других, -,2,6, -, -,4,МГУ, -,68,82,66,64,57,4,1,5,1,2,5,1,1,2,5,6,З.О.,З.О.,З.О.,1,3,18,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1165,,,,Факультет вычислительной математики и кибернетики,9,5,  -,Исторический,2,  -,  -,2,2,1,3, -,ГУ-ВШЭ, -,3,4,5, -,1, -, -,79,90,68,85,61,4,3,3,2,1,2,2,1,1,2,7,З.О.,З.О.,З.О.,2,2,17,1,1,-,-,4,2,-,-,-,4,1,английский,-,-,3
1166,,,,Факультет вычислительной математики и кибернетики,9,2,  -,Журфак,2,  -,  -,1,1,2,4, -,МИФИ, -,2,5, -, -,1, -, -,70,82,90,84,54,2,2,2,3,2,2,4,1,2,3,9,З.О.,З.О.,З.О.,1,3,18,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1167,перспективный, фундаментальный, молодежный,Экономический факультет,9,5,  -,Журфак,2,  -,  -,4,7,1,  -, -,ГУУ, -,1,2, -, -,7, -, -,60,76,90,63,63,5,3,4,3,2,2,3,1,3,2,8,З.О.,З.О.,З.О.,1,3,18,2,2,Нижний Новгород,-,,4,-,-,-,5,1,английский,-,-,3
1168,на нем учился отец, туда поступил брат,,Экономический факультет,8,3,  -,Журфак,2,  -,  -,2,1,2,  -, -,ГУУ, -,1,2,1, -,1, -, -,24,51,43,55,55,3,4,4,1,1,3,4,1,4,3,4,З.О.,З.О.,З.О.,2,2,19,2,1,-,-,1,4,-,-,-,5,1,английский,-,-,3
1169,,,,Юридический факультет,10,3,  -,Социологический,2,  -,  -,2,1,4,  -, -,НИУ ВШЭ, -,1,2,3, -,1, -, -,56,98,66,72,54,2,5,3,1,1,2,1,1,1,5,8,З.О.,З.О.,З.О.,1,2,18,2,2,Нижний Новгород,-,4,1,-,-,-,4,1,английский,-,-,1
1170,перспективный, интересный, математический,Экономический факультет,7,3,  -, -,2,  -,  -,1,2,1,6, -,ГУУ, -,2, -, -, -,2, -, -,72,84,69,84,65,3,1,4,2,1,2,3,1,5,2,5,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,3,3,-,-,-,5,1,английский,-,-,7
1171,интересный, престижный, долгожданный,Социологический факультет,5,5,  -,"ВШБ,факультет стран Азии и Африки",2,  -,  -,2,1,3,2, -,РГГУ, -,1,3,4, -,1, -, -,74,87,60,85,70,4,1,4,1,3,2,4,1,3,2,8,З.О.,З.О.,З.О.,2,2,17,2,2,-,-,4,4,-,-,-,3,1,английский,-,-,3
1172,научный, высокообразовательный, хороший,Факультет вычислительной математики и кибернетики,8,3,  -,не рассматривается,2,  -,  -,2,2,1,  -, -,НИУ ВШЭ, -,2, -, -, -,1, -, -,88,95,66,98,89,3,1,4,1,1,2,5,1,2,2,4,З.О.,З.О.,З.О.,1,3,19,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1173,актуальный   современый  перспективный,,,Факультет вычислительной математики и кибернетики,9,1,  -,не рассматривается,2,  -,  -,2,1,2,  -, -,МГУ, -,3, -, -, -,1, -, -,45,70,68,65,67,4,1,4,2,2,2,3,3,1,1,7,З.О.,З.О.,З.О.,1,2,28,2,1,-,-,3,4,-,-,-,4,1,английский,-,-,4
1174,,,,Юридический факультет,6,6,  -,ВШБ,2,  -,  -,4,1,2,  -, -,НИУ ВШЭ, -,1,2,3, -,1, -, -,65,82,86,55,75,1,4,2,1,1,3,1,1,1,2,9,З.О.,З.О.,З.О.,1,2,17,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,2
1175,интересный, познавательный, помогающий,Экономический факультет,10,5,  -,ВШБ,2,  -,  -,2,1,6,5, -,ГУУ, -,2, -, -, -,1, -, -,45,70,68,65,67,1,2,1,3,2,3,1,1,4,5,3,З.О.,З.О.,З.О.,2,1,18,2,,-,-,4,4,-,-,-,7,1,английский,-,-,4
1176,круто,сложно,,Юридический факультет,7,1,  -,Философский,2,  -,  -,2,1,2,  -, -,МГИМО, -,1, -, -, -,1, -, -,52,82,83,78,63,4,3,4,3,2,1,3,1,1,3,1,З.О.,З.О.,З.О.,1,2,18,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
1177,правильный интересный красивый,,,Экономический факультет,4,3,  -,не рассматривается,2,  -,  -,1,2,1,  -, -,МГУ, -,1,2,3, -,2, -, -,82,98,88,74,100,4,3,3,2,2,3,1,1,1,3,2,З.О.,З.О.,З.О.,2,2,16,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1178,интересный, мотивирующий, лучший,Факультет вычислительной математики и кибернетики,10,5,  -,Философский,2,  -,  -,2,2,4,  -, -,нет других, -,3, -, -, -,1, -, -,56,87,56,71,67,3,1,4,3,3,1,3,1,1,1,6,З.О.,З.О.,З.О.,2,1,17,2,,-,-,4,4,-,-,-,5,1,английский,-,-,2
1179,успешный, интересный,,Факультет вычислительной математики и кибернетики,10,1,  -,Исторический,2,  -,  -,2,1,2,  -, -,МГУ, -,1,2,3, -,1, -, -,60,66,57,45,55,4,2,4,3,3,2,2,2,1,1,10,З.О.,З.О.,З.О.,3,2,18,1,,-,-,4,4,-,-,-,6,1,английский,-,-,3
1180,,,,Факультет биоинженерии и биоинформатики,10,3,  -,"ФГУ,экономиечский",2,  -,  -,2,2,2,  -, -,МГИМО, -,1,2,5, -,1, -, -,78,82,75,82,85,3,4,3,4,3,3,2,2,1,3,7,З.О.,З.О.,З.О.,1,2,17,1,,-,-,4,4,-,-,-,5,1,английский,-,-,3
1181,престижный, интересный, большой,Факультет мировой политики,8,4,  -,Политологический,2,  -,  -,1,1,1,  -, -,МГИМО, -,1,2,3, -,1, -, -,69,87,93,87,75,2,5,1,1,1,3,2,1,2,3,5,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1182,конкурентный, желанный, сложный,Экономический факультет,7,"1,2,3",  -,"Философский, политологический",2,  -,  -,2,4,2,  -, -,СПБГУ, -,1,2,4, -,4,МГУ, -,84,92,77,63,77,4,3,2,3,1,1,4,2,1,5,9,З.О.,З.О.,З.О.,2,2,17,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,2
1183,математический, креативный, веселый,Экономический факультет,7,3,  -, -,2,  -,  -,2,2,2,3, -,ВШЭ, -,1,3,5, -,5, -, -,71,94,84,73,89,4,2,5,4,5,5,3,5,3,5,7,З.О.,З.О.,З.О.,2,3,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1184,Престижный, старейший, интересный.,Философский факультет,10,3,  -,ФИЯР,2,  -,  -,1,2,2,4, -,МГУ, -,2, -, -, -,2, -, -,52,87,45,83,60,3,3,2,5,5,3,2,1,2,4,7,З.О.,З.О.,З.О.,3,2,17,2,2,Нижний Новгород,-,4,4,-,-,-,3,1,английский,-,-,3
1185,интересный   технический  популярный,,,Факультет вычислительной математики и кибернетики,7,3.5,  -,"Мировая политика, философский",2,  -,  -,2,1,4,3, -,МГСУ, -,1,3, -, -,6, -, -,63,87,96,74,77,5,2,5,1,1,1,3,1,1,4,6,З.О.,З.О.,З.О.,1,3,16,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1186,интересный престижный веселый,,,Факультет вычислительной математики и кибернетики,5,2.3,  -,ФИЯР,2,  -,  -,2,2,5,3, -,МГИМО, -,2, -, -, -,5, -, -,84,69,71,65,74,5,2,2,3,2,5,1,1,1,5,8,З.О.,З.О.,З.О.,1,2,18,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1187,,,,Биологический факультет,8,"1,2,3,5,6",  -, -,2,  -,  -,4,2,1,4, -,ГУ ВШЭ, -,2, -, -, -,2, -, -,84,87,76,69,56,3,2,4,2,3,2,4,2,3,2,4,З.О.,З.О.,З.О.,3,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
1188,Академичный, информационный, большой.,Факультет вычислительной математики и кибернетики,7,6,  -,Регионоведения,2,  -,  -,2,2,1,  -, -,ВШЭ, -,2,5, -, -,5, -, -,48,92,100,88,96,2,1,4,2,2,4,2,1,4,3,9,З.О.,З.О.,З.О.,1,3,16,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1189,перспективный,родной,модный,Экономический факультет,9,3.5,  -,"Философский, политологический",2,  -,  -,2,4,2,  -, -,МГИМО, -,6, -, -, -,5, -, -,82,85,87,65,78,2,5,2,4,2,1,3,3,5,5,7,З.О.,З.О.,З.О.,2,2,18,1,2,Владимир,-,4,4,-,-,-,5,1,английский,-,-,3
1190,желанный, интересный, достойный,Высшая школа государственного аудита (факультет),7,2,  -, -,2,  -,  -,1,2,3,  -, -,ВШЭ, -,2,3,5, -,4,МГУ, -,63,88,79,69,92,3,3,2,2,2,2,3,2,1,2,6,З.О.,З.О.,З.О.,1,3,18,1,2,Владимир,-,4,4,-,-,-,5,1,английский,-,-,7
1191,,,,Факультет мировой политики,5,4,  -,Экономический факультет,2,  -,  -,2,2,3,  -, -,Плехановская Академия, -,2,5,6, -,5, -, -,74,98,80,72,55,1,5,1,2,3,3,2,5,3,2,7,З.О.,З.О.,З.О.,1,2,23,1,2,Владимир,-,4,4,-,-,-,5,1,английский,-,-,2
